sample,context,precision,sensitivity,fmeasure
HiSeq4000_LAB01_Father_REP01,satellite,0.9921,0.9887,0.9904
HiSeq4000_LAB01_Father_REP01,simplerepeat,0.9841,0.9696,0.9768
HiSeq4000_LAB01_Mother_REP01,Alu,0.9877,0.9672,0.9773
HiSeq4000_LAB01_Mother_REP01,L1,0.9955,0.9800,0.9877
HiSeq4000_LAB01_Mother_REP01,L2,0.9983,0.9944,0.9964
HiSeq4000_LAB01_Mother_REP01,lowcomplexity,0.9842,0.9676,0.9758
HiSeq4000_LAB01_Mother_REP01,LTR,0.9980,0.9938,0.9959
HiSeq4000_LAB01_Mother_REP01,satellite,0.9941,0.9548,0.9740
HiSeq4000_LAB01_Mother_REP01,simplerepeat,0.9825,0.9661,0.9742
HiSeq4000_LAB01_Son_REP01,Alu,0.9849,0.9535,0.9689
HiSeq4000_LAB01_Son_REP01,L1,0.9934,0.9695,0.9813
HiSeq4000_LAB01_Son_REP01,L2,0.9983,0.9932,0.9957
HiSeq4000_LAB01_Son_REP01,lowcomplexity,0.9828,0.9425,0.9622
HiSeq4000_LAB01_Son_REP01,LTR,0.9971,0.9919,0.9945
HiSeq4000_LAB01_Son_REP01,satellite,0.9877,0.9880,0.9879
HiSeq4000_LAB01_Son_REP01,simplerepeat,0.9751,0.9491,0.9619
HiSeq4000_LAB01_Son_REP02,Alu,0.9895,0.9721,0.9807
HiSeq4000_LAB01_Son_REP02,L1,0.9952,0.9773,0.9862
HiSeq4000_LAB01_Son_REP02,L2,0.9982,0.9949,0.9965
HiSeq4000_LAB01_Son_REP02,lowcomplexity,0.9854,0.9690,0.9771
HiSeq4000_LAB01_Son_REP02,LTR,0.9975,0.9942,0.9958
HiSeq4000_LAB01_Son_REP02,satellite,0.9954,0.9884,0.9919
HiSeq4000_LAB01_Son_REP02,simplerepeat,0.9820,0.9661,0.9740
HiSeq4000_LAB01_Son_REP03,Alu,0.9900,0.9741,0.9820
HiSeq4000_LAB01_Son_REP03,L1,0.9949,0.9764,0.9856
HiSeq4000_LAB01_Son_REP03,L2,0.9986,0.9947,0.9966
HiSeq4000_LAB01_Son_REP03,lowcomplexity,0.9849,0.9662,0.9755
HiSeq4000_LAB01_Son_REP03,LTR,0.9981,0.9942,0.9961
HiSeq4000_LAB01_Son_REP03,satellite,0.9950,0.9887,0.9919
HiSeq4000_LAB01_Son_REP03,simplerepeat,0.9807,0.9638,0.9722
HiSeq4000_LAB02_Father_REP01,Alu,0.9901,0.9802,0.9851
HiSeq4000_LAB02_Father_REP01,L1,0.9953,0.9795,0.9873
HiSeq4000_LAB02_Father_REP01,L2,0.9978,0.9952,0.9965
HiSeq4000_LAB02_Father_REP01,lowcomplexity,0.9897,0.9797,0.9847
HiSeq4000_LAB02_Father_REP01,LTR,0.9975,0.9931,0.9953
HiSeq4000_LAB02_Father_REP01,satellite,0.9867,0.9862,0.9864
HiSeq4000_LAB02_Father_REP01,simplerepeat,0.9861,0.9762,0.9811
HiSeq4000_LAB02_Mother_REP01,Alu,0.9910,0.9812,0.9861
HiSeq4000_LAB02_Mother_REP01,L1,0.9954,0.9788,0.9871
HiSeq4000_LAB02_Mother_REP01,L2,0.9985,0.9954,0.9969
HiSeq4000_LAB02_Mother_REP01,lowcomplexity,0.9888,0.9835,0.9861
HiSeq4000_LAB02_Mother_REP01,LTR,0.9983,0.9939,0.9961
HiSeq4000_LAB02_Mother_REP01,satellite,0.9931,0.9548,0.9736
HiSeq4000_LAB02_Mother_REP01,simplerepeat,0.9868,0.9779,0.9823
HiSeq4000_LAB02_Son_REP01,Alu,0.9919,0.9818,0.9869
HiSeq4000_LAB02_Son_REP01,L1,0.9956,0.9761,0.9857
HiSeq4000_LAB02_Son_REP01,L2,0.9987,0.9955,0.9971
HiSeq4000_LAB02_Son_REP01,lowcomplexity,0.9880,0.9780,0.9830
HiSeq4000_LAB02_Son_REP01,LTR,0.9978,0.9940,0.9959
HiSeq4000_LAB02_Son_REP01,satellite,0.9912,0.9902,0.9907
HiSeq4000_LAB02_Son_REP01,simplerepeat,0.9866,0.9759,0.9812
HiSeq4000_LAB02_Son_REP02,Alu,0.9913,0.9813,0.9862
HiSeq4000_LAB02_Son_REP02,L1,0.9963,0.9783,0.9872
HiSeq4000_LAB02_Son_REP02,L2,0.9986,0.9954,0.9970
HiSeq4000_LAB02_Son_REP02,lowcomplexity,0.9905,0.9785,0.9845
HiSeq4000_LAB02_Son_REP02,LTR,0.9978,0.9942,0.9960
HiSeq4000_LAB02_Son_REP02,satellite,0.9940,0.9877,0.9908
HiSeq4000_LAB02_Son_REP02,simplerepeat,0.9872,0.9773,0.9822
HiSeq4000_LAB02_Son_REP03,Alu,0.9919,0.9818,0.9868
HiSeq4000_LAB02_Son_REP03,L1,0.9962,0.9790,0.9875
HiSeq4000_LAB02_Son_REP03,L2,0.9983,0.9960,0.9972
HiSeq4000_LAB02_Son_REP03,lowcomplexity,0.9903,0.9740,0.9821
HiSeq4000_LAB02_Son_REP03,LTR,0.9979,0.9945,0.9962
HiSeq4000_LAB02_Son_REP03,satellite,0.9989,0.9880,0.9935
HiSeq4000_LAB02_Son_REP03,simplerepeat,0.9865,0.9760,0.9812
HiSeq4000_LAB03_Father_REP01,Alu,0.9878,0.9785,0.9831
HiSeq4000_LAB03_Father_REP01,L1,0.9946,0.9786,0.9865
HiSeq4000_LAB03_Father_REP01,L2,0.9977,0.9944,0.9960
HiSeq4000_LAB03_Father_REP01,lowcomplexity,0.9853,0.9813,0.9833
HiSeq4000_LAB03_Father_REP01,LTR,0.9974,0.9921,0.9948
HiSeq4000_LAB03_Father_REP01,satellite,0.9925,0.9852,0.9889
HiSeq4000_LAB03_Father_REP01,simplerepeat,0.9846,0.9749,0.9797
HiSeq4000_LAB03_Mother_REP01,Alu,0.9892,0.9789,0.9841
HiSeq4000_LAB03_Mother_REP01,L1,0.9949,0.9778,0.9863
HiSeq4000_LAB03_Mother_REP01,L2,0.9980,0.9946,0.9963
HiSeq4000_LAB03_Mother_REP01,lowcomplexity,0.9884,0.9780,0.9832
HiSeq4000_LAB03_Mother_REP01,LTR,0.9980,0.9937,0.9958
HiSeq4000_LAB03_Mother_REP01,satellite,0.9925,0.9496,0.9706
HiSeq4000_LAB03_Mother_REP01,simplerepeat,0.9835,0.9737,0.9786
HiSeq4000_LAB03_Son_REP01,Alu,0.9905,0.9799,0.9852
HiSeq4000_LAB03_Son_REP01,L1,0.9946,0.9771,0.9858
HiSeq4000_LAB03_Son_REP01,L2,0.9984,0.9952,0.9968
HiSeq4000_LAB03_Son_REP01,lowcomplexity,0.9863,0.9724,0.9793
HiSeq4000_LAB03_Son_REP01,LTR,0.9977,0.9943,0.9960
HiSeq4000_LAB03_Son_REP01,satellite,0.9954,0.9895,0.9924
HiSeq4000_LAB03_Son_REP01,simplerepeat,0.9827,0.9713,0.9770
HiSeq4000_LAB03_Son_REP02,Alu,0.9896,0.9792,0.9844
HiSeq4000_LAB03_Son_REP02,L1,0.9952,0.9783,0.9867
HiSeq4000_LAB03_Son_REP02,L2,0.9983,0.9953,0.9968
HiSeq4000_LAB03_Son_REP02,lowcomplexity,0.9845,0.9769,0.9807
HiSeq4000_LAB03_Son_REP02,LTR,0.9979,0.9936,0.9958
HiSeq4000_LAB03_Son_REP02,satellite,0.9933,0.9891,0.9912
HiSeq4000_LAB03_Son_REP02,simplerepeat,0.9839,0.9732,0.9785
HiSeq4000_LAB03_Son_REP03,Alu,0.9904,0.9805,0.9854
HiSeq4000_LAB03_Son_REP03,L1,0.9951,0.9792,0.9871
HiSeq4000_LAB03_Son_REP03,L2,0.9986,0.9953,0.9969
HiSeq4000_LAB03_Son_REP03,lowcomplexity,0.9835,0.9771,0.9803
HiSeq4000_LAB03_Son_REP03,LTR,0.9981,0.9943,0.9962
HiSeq4000_LAB03_Son_REP03,satellite,0.9930,0.9902,0.9916
HiSeq4000_LAB03_Son_REP03,simplerepeat,0.9839,0.9728,0.9783
HiSeqX10_LAB01_Father_REP01,Alu,0.9966,0.9941,0.9953
HiSeqX10_LAB01_Father_REP01,L1,0.9962,0.9800,0.9880
HiSeqX10_LAB01_Father_REP01,L2,0.9987,0.9954,0.9971
HiSeqX10_LAB01_Father_REP01,lowcomplexity,0.9948,0.9873,0.9910
HiSeqX10_LAB01_Father_REP01,LTR,0.9977,0.9937,0.9957
HiSeqX10_LAB01_Father_REP01,satellite,0.9906,0.9887,0.9896
HiSeqX10_LAB01_Father_REP01,simplerepeat,0.9916,0.9857,0.9886
HiSeqX10_LAB01_Mother_REP01,Alu,0.9971,0.9943,0.9957
HiSeqX10_LAB01_Mother_REP01,L1,0.9963,0.9807,0.9885
HiSeqX10_LAB01_Mother_REP01,L2,0.9988,0.9957,0.9972
HiSeqX10_LAB01_Mother_REP01,lowcomplexity,0.9953,0.9910,0.9932
HiSeqX10_LAB01_Mother_REP01,LTR,0.9978,0.9948,0.9963
HiSeqX10_LAB01_Mother_REP01,satellite,0.9970,0.9520,0.9740
HiSeqX10_LAB01_Mother_REP01,simplerepeat,0.9921,0.9884,0.9902
HiSeqX10_LAB01_Son_REP01,Alu,0.9975,0.9941,0.9958
HiSeqX10_LAB01_Son_REP01,L1,0.9960,0.9781,0.9870
HiSeqX10_LAB01_Son_REP01,L2,0.9989,0.9958,0.9973
HiSeqX10_LAB01_Son_REP01,lowcomplexity,0.9940,0.9869,0.9904
HiSeqX10_LAB01_Son_REP01,LTR,0.9978,0.9939,0.9959
HiSeqX10_LAB01_Son_REP01,satellite,0.9916,0.9916,0.9916
HiSeqX10_LAB01_Son_REP01,simplerepeat,0.9914,0.9868,0.9891
HiSeqX10_LAB01_Son_REP02,Alu,0.9969,0.9943,0.9956
HiSeqX10_LAB01_Son_REP02,L1,0.9966,0.9806,0.9885
HiSeqX10_LAB01_Son_REP02,L2,0.9988,0.9963,0.9976
HiSeqX10_LAB01_Son_REP02,lowcomplexity,0.9944,0.9861,0.9903
HiSeqX10_LAB01_Son_REP02,LTR,0.9980,0.9941,0.9960
HiSeqX10_LAB01_Son_REP02,satellite,0.9965,0.9873,0.9919
HiSeqX10_LAB01_Son_REP02,simplerepeat,0.9920,0.9869,0.9895
HiSeqX10_LAB01_Son_REP03,Alu,0.9976,0.9947,0.9961
