sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,9,92634
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,10,110725
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,11,152571
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,12,203301
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,13,244579
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,14,358724
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,15,516434
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,16,747448
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,17,1142720
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,18,1740911
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,19,2603967
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,20,3767966
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,21,5382916
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,22,7271268
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,23,9652662
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,24,12342174
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,25,15291407
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,26,18585452
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,27,21992742
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,28,25537835
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,29,29081400
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,30,32488567
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,31,35804986
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,32,39072612
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,33,42270319
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,34,45136805
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,35,47886583
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,36,50191288
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,37,51553781
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,38,51951648
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,39,51301220
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,40,49542412
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,41,46983392
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,42,44008857
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,43,40832462
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,44,38011580
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,45,35971264
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,46,34325113
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,47,33074802
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,48,31908500
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,49,30417732
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,50,28516050
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,51,26339400
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,52,24165347
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,53,22137885
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,54,20434702
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,55,18939600
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,56,17507761
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,57,15978030
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,58,14254992
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,59,12344250
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,60,10419102
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,61,8632448
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,62,7088167
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,63,5829285
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,64,4777757
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,65,3918048
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,66,3193831
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,67,2572020
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,68,2043389
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,69,1612978
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,70,1274554
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,71,1003017
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,72,799189
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,73,645223
