sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,48,0.903421
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,49,0.891073
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,50,0.879539
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,51,0.869746
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,52,0.862132
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,53,0.854589
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,54,0.849467
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,55,0.844869
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,56,0.838740
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,57,0.830661
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,58,0.821804
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,59,0.811601
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,60,0.800146
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,61,0.789533
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,62,0.778777
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,63,0.767359
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,64,0.758322
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,65,0.749102
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,66,0.736196
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,67,0.729820
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,68,0.731159
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,69,0.732685
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,70,0.736666
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,71,0.745975
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,72,0.763208
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,73,0.783510
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,74,0.798097
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,75,0.831502
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,76,0.826325
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,77,0.860621
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,78,0.862387
